3m_buy,3m_overweight,3m_hold,3m_underweight,3m_sell,1m_buy,1m_overweight,1m_hold,1m_underweight,1m_sell,curr_buy,curr_overweight,curr_hold,curr_underweight,curr_sell
N/A,N/A,N/A,N/A,N/A,17,4,10,0,0,19,4,10,0,0
11,1,11,1,4,10,1,10,2,3,12,1,9,2,3
N/A,N/A,N/A,N/A,N/A,13,2,7,1,4,12,2,7,1,4
16,3,9,0,0,16,2,8,1,0,16,3,7,1,0
13,2,17,1,1,13,2,15,1,2,13,2,16,2,1
20,2,6,1,0,N/A,N/A,N/A,N/A,N/A,20,2,8,1,0
33,3,4,1,0,35,5,3,1,0,32,6,1,0,0
17,0,6,0,0,15,2,6,0,0,15,1,6,1,0
34,3,4,1,0,36,5,3,1,0,33,6,1,0,0
8,3,5,0,0,9,3,3,0,0,9,3,3,0,0
12,2,6,0,0,N/A,N/A,N/A,N/A,N/A,11,2,7,0,0
13,6,11,1,0,11,3,10,0,0,12,3,9,0,0
13,0,5,0,0,12,1,7,0,0,12,1,7,0,0
14,0,15,1,0,12,0,14,1,0,12,0,15,1,0
8,2,1,0,2,8,1,4,0,0,8,1,5,0,0
N/A,N/A,N/A,N/A,N/A,2,0,2,0,0,1,0,2,0,0
14,2,8,0,0,15,2,11,0,0,15,2,10,0,0
3,0,0,0,0,4,0,2,0,0,5,0,2,0,0
17,0,7,1,0,17,0,7,1,0,19,0,5,1,0
17,0,6,0,0,15,2,6,0,0,15,1,6,1,0
16,2,4,0,1,20,2,2,0,1,19,2,2,0,1
18,2,4,0,0,18,3,4,0,0,17,3,5,0,0
14,1,18,0,0,14,2,18,0,0,16,2,15,0,0
20,3,5,1,0,21,2,8,1,0,22,2,9,0,0
9,0,9,0,1,10,0,8,1,0,11,0,8,1,0
18,1,12,0,2,17,1,13,0,2,15,1,14,0,2
18,2,8,1,0,19,3,9,1,0,19,3,10,0,0
12,2,2,0,2,N/A,N/A,N/A,N/A,N/A,13,2,3,0,1
14,2,7,0,0,14,2,8,0,1,15,2,8,0,1
0,1,1,0,0,N/A,N/A,N/A,N/A,N/A,0,0,2,0,0
N/A,N/A,N/A,N/A,N/A,9,2,10,1,2,9,1,11,1,2
1,2,1,0,0,2,2,2,0,0,3,2,2,0,0
8,2,14,0,2,10,1,20,0,3,10,1,18,0,3
34,6,3,0,1,32,6,2,0,1,34,6,2,0,1
9,2,14,1,2,11,2,14,1,1,11,1,14,2,1
16,1,9,0,0,16,1,9,0,1,17,1,7,1,1
13,2,5,0,0,12,2,5,0,0,12,2,6,0,0
1,1,1,1,0,1,1,1,1,0,1,1,2,1,0
4,0,0,0,0,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0
14,1,4,0,2,N/A,N/A,N/A,N/A,N/A,14,1,4,1,1
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,0,10,0,2
13,4,6,1,3,13,3,8,0,3,10,3,11,0,3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,0,3,0,0
13,1,6,0,2,16,1,5,1,1,17,1,4,1,1
24,1,15,1,3,23,2,16,1,2,24,1,17,1,3
32,3,5,0,3,29,4,4,0,3,29,3,4,0,2
20,0,4,1,0,21,0,4,0,0,21,0,4,0,0
2,0,14,0,2,3,0,12,1,2,4,0,13,1,2
N/A,N/A,N/A,N/A,N/A,14,0,7,0,0,11,0,8,0,0
N/A,N/A,N/A,N/A,N/A,14,2,7,1,1,15,2,6,0,1
N/A,N/A,N/A,N/A,N/A,9,1,0,0,0,8,0,0,0,0
13,2,6,0,1,13,2,5,0,1,13,1,6,0,1
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,2,15,0,2,N/A,N/A,N/A,N/A,N/A,10,2,14,0,2
15,5,2,0,2,16,4,1,0,2,15,4,1,0,2
15,5,2,0,2,16,4,1,0,2,15,4,1,0,2
N/A,N/A,N/A,N/A,N/A,28,0,5,1,0,28,0,6,0,0
26,1,4,1,0,N/A,N/A,N/A,N/A,N/A,28,2,3,0,0
18,2,13,1,1,17,2,14,0,2,17,2,14,0,2
12,0,19,2,0,9,0,19,1,0,10,0,17,1,0
14,1,3,1,3,13,1,4,1,3,13,1,5,1,3
19,2,7,0,0,18,3,6,0,0,18,3,6,0,0
9,1,3,0,0,10,2,3,1,0,11,2,3,1,0
20,0,0,1,0,19,0,2,1,0,17,0,2,1,1
16,2,5,0,1,16,2,5,0,1,19,2,3,0,1
22,0,4,0,0,19,0,3,0,0,18,0,4,0,0
